method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,10,20,10,0,164,1441.8,1005,2010,2017,2017,57.2,57.4,11.53
poll,50,20,50,0,838,1318.9,1010,2046,2089,2093,59.2,60.2,20.53
poll,100,20,100,0,1671,1413.4,1057,1994,2009,2015,61.3,62.4,21.42
poll,500,20,500,0,8429,1382.8,1426,1984,2007,2018,75.5,80.7,113.47
poll,1000,20,1000,0,16894,1291.6,1059,2216,2485,2522,91.3,93.2,203.95
sse,10,20,10,0,190,7.8,8,13,13,13,93.2,93.2,2.47
sse,50,20,50,0,950,8.6,8,13,15,17,92.5,93.5,4.11
sse,100,20,100,0,1900,12.4,12,21,26,27,94.7,97.3,5.74
sse,500,20,500,0,9500,27.6,25,57,95,103,99.1,99.3,18.11
sse,1000,20,1000,0,19000,40.3,40,70,75,80,104.0,108.4,21.37
ws,10,20,10,0,190,8.3,7,20,21,21,107.3,107.4,3.26
ws,50,20,50,0,950,8.9,8,17,19,20,107.7,107.7,2.47
ws,100,20,100,0,1900,10.7,10,20,26,27,107.7,107.7,4.11
ws,500,20,500,0,9500,29.9,29,50,86,95,96.9,108.0,22.21
ws,1000,20,1000,0,19000,39.5,38,75,81,87,85.3,85.4,17.26
fcm,10,20,10,0,190,103.8,91,164,165,165,84.4,84.5,3.32
fcm,50,20,50,0,950,113.1,112,165,169,170,84.8,84.8,3.32
fcm,100,20,100,0,301,324.7,160,170,171,50703,84.3,84.3,7.75
fcm,500,20,500,0,9500,130.7,136,174,178,180,86.5,87.4,12.37
fcm,1000,20,1000,0,19000,141.9,134,226,253,269,109.0,109.0,14.84
