method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,5,5,5,0,15,1273.2,978,1989,1989,1989,61.0,61.0,3.75
poll,20,5,20,0,60,730.2,975,1011,2005,2005,61.1,61.2,4.00
sse,5,5,5,0,20,5.7,6,8,8,8,61.2,61.2,3.75
sse,20,5,20,0,80,5.2,5,7,7,7,61.2,61.2,0
ws,5,5,5,0,20,5.6,5,8,8,8,61.3,61.4,0
ws,20,5,20,0,60,2.0,1,5,5,5,61.4,61.4,7.75
fcm,5,5,5,0,20,100.5,107,114,114,114,61.6,61.6,7.75
fcm,20,5,20,0,80,122.5,153,165,166,166,61.8,61.8,0
