method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,10,20,10,0,160,1417.9,1002,2010,2012,2012,65.4,65.4,4.95
poll,50,20,50,0,836,1450.6,1003,2004,2009,2012,65.5,66.0,10.68
poll,100,20,100,0,1673,1409.8,1040,2002,2061,2075,65.9,66.5,21.42
poll,500,20,500,0,8500,1175.6,873,1856,1904,1933,76.5,82.9,120.05
poll,1000,20,1000,0,16956,1201.1,882,2034,2169,2194,102.7,106.2,144.74
sse,10,20,10,0,190,3.2,3,12,13,13,106.2,106.3,0
sse,50,20,50,0,950,5.7,5,8,9,10,106.0,106.0,3.26
sse,100,20,100,0,1900,5.6,5,9,12,12,106.1,106.1,2.47
sse,500,20,500,0,9500,9.1,9,15,19,21,106.2,106.2,4.11
sse,1000,20,1000,0,19000,22.1,19,60,90,103,106.4,106.4,10.68
ws,10,20,10,0,190,4.8,4,8,9,9,105.1,105.1,1.63
ws,50,20,50,0,950,4.0,4,8,9,9,105.3,105.5,0.79
ws,100,20,100,0,1900,5.0,4,14,18,19,105.6,105.6,4.11
ws,500,20,500,0,9500,7.3,7,13,16,18,107.2,107.3,5.79
ws,1000,20,1000,0,19000,20.6,18,49,93,107,106.4,106.5,9.84
fcm,10,20,10,0,190,114.1,120,159,160,160,105.7,105.8,1.63
fcm,50,20,50,0,950,111.5,109,163,164,164,105.8,105.8,4.11
fcm,100,20,100,0,1900,133.2,131,167,179,183,105.8,105.8,5.74
fcm,500,20,500,0,9500,140.7,146,178,191,203,107.4,107.5,22.21
fcm,1000,20,1000,0,18346,127.4,116,186,222,240,113.8,115.0,15.63
