method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,5,5,5,0,15,1299.7,982,1998,1998,1998,59.4,59.5,0
poll,20,5,20,0,60,727.5,983,989,1996,1996,59.3,59.3,11.75
sse,5,5,5,0,20,7.2,8,10,10,10,59.4,59.5,8.00
sse,20,5,20,0,80,6.1,6,8,8,8,59.7,59.7,0
ws,5,5,5,0,20,6.0,6,9,9,9,60.0,60.0,0
ws,20,5,20,0,80,6.6,6,9,9,9,60.1,60.2,0
fcm,5,5,5,0,20,101.0,116,119,119,119,60.2,60.3,0
fcm,20,5,20,0,80,116.4,124,126,126,126,60.5,60.6,3.75
