method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,100,15,100,0,1285,1282.7,1025,2029,2064,2093,62.8,64.3,45.71
poll,500,15,500,0,6378,1310.8,1151,2224,2403,2438,72.2,74.5,140.57
poll,1000,15,1000,0,12659,1385.6,1270,2227,2550,2571,90.0,94.3,189.71
poll,50000,15,50000,34475,2,855.5,856,856,856,856,93.5,93.5,0
sse,100,15,100,0,1400,10.1,10,16,19,19,101.3,101.6,7.79
sse,500,15,500,0,7000,17.5,17,28,31,33,102.5,103.0,8.93
sse,1000,15,1000,0,14000,40.3,35,86,145,163,108.2,113.8,23.43
sse,50000,15,0,34440,0,0,0,0,0,0,0,0,0
sse,100000,15,0,33197,0,0,0,0,0,0,0,0,0
ws,100,15,100,0,1400,8.1,8,11,12,12,114.4,153.9,5.57
ws,500,15,500,0,7000,18.7,17,36,49,52,89.9,91.0,15.64
ws,1000,15,1000,0,14000,30.0,26,73,103,120,95.2,96.9,13.36
ws,50000,15,0,34439,0,0,0,0,0,0,0,0,0
ws,100000,15,0,23266,0,0,0,0,0,0,0,0,0
fcm,100,15,93,7,744,117.7,126,156,157,157,155.5,155.5,5.88
fcm,500,15,498,2,4482,115.8,112,170,178,180,157.2,157.4,12.22
fcm,1000,15,994,6,0,0,0,0,0,0,0,0,0
fcm,50000,15,0,34446,0,0,0,0,0,0,0,0,0
