method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,5,5,5,0,14,1267.8,1008,2012,2012,2012,57.8,57.9,0
poll,20,5,20,0,60,724.8,969,999,2006,2006,58.1,58.4,11.50
sse,5,5,5,0,20,13.4,8,34,34,34,58.5,58.7,7.75
sse,20,5,20,0,80,14.5,21,23,23,23,58.7,58.7,0
ws,5,5,5,0,20,5.2,5,8,8,8,58.6,58.8,3.75
ws,20,5,20,0,80,11.4,6,28,28,28,58.8,58.9,0
fcm,5,5,5,0,20,104.2,118,124,124,124,59.1,59.1,4.00
fcm,20,5,20,0,80,123.6,137,161,161,161,59.4,59.5,0
