method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,5,5,5,0,15,1294.2,994,1995,1995,1995,58.0,58.3,3.75
poll,20,5,20,0,60,722.9,955,995,2001,2001,58.4,58.5,7.75
sse,5,5,5,0,20,9.4,8,15,15,15,58.5,58.5,15.75
sse,20,5,20,0,80,9.8,8,17,17,17,58.6,58.8,0
ws,5,5,5,0,20,8.4,6,15,15,15,58.6,58.8,3.75
ws,20,5,20,0,80,10.5,9,18,19,19,58.9,58.9,8.00
fcm,5,5,5,0,20,123.3,134,141,141,141,58.9,59.0,3.75
fcm,20,5,20,0,80,92.9,106,109,109,109,59.4,59.4,7.75
