method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,10,20,10,0,167,1436.4,1000,2000,2002,2002,275.6,275.6,0.84
poll,50,20,50,0,850,1331.9,982,1976,1983,1986,275.7,275.8,16.42
poll,100,20,100,0,1697,1326.8,995,1993,2012,2024,81.6,83.2,51.84
poll,500,20,500,0,8068,1372.8,1207,1993,2096,2162,104.6,113.4,176.79
poll,1000,20,1000,0,16396,1350.2,1299,2043,2297,2388,143.5,150.1,313.32
sse,10,20,10,0,190,5.1,5,10,11,11,147.5,148.1,1.63
sse,50,20,50,0,950,8.0,8,12,14,15,143.1,143.1,5.79
sse,100,20,100,0,1900,7.2,7,11,16,16,143.1,143.1,2.47
sse,500,20,500,0,9500,17.7,16,36,66,75,143.5,143.6,9.05
sse,1000,20,1000,0,19000,36.3,34,68,91,124,145.8,145.9,19.74
ws,10,20,10,0,190,7.8,7,12,12,12,143.8,143.8,1.68
ws,50,20,50,0,950,8.7,8,25,29,29,143.8,143.8,2.47
ws,100,20,100,0,1900,7.5,7,15,19,21,144.2,144.2,5.74
ws,500,20,500,0,9500,17.7,16,35,48,56,111.4,144.4,10.74
ws,1000,20,1000,0,19000,28.6,27,54,67,75,88.9,89.0,20.58
fcm,10,20,10,0,190,117.8,124,157,158,158,88.3,88.7,4.11
fcm,50,20,50,0,950,108.3,112,141,143,144,90.8,90.8,6.58
fcm,100,20,100,0,1900,116.9,119,170,172,173,90.8,90.8,0.84
fcm,500,20,500,0,9500,123.1,125,161,179,183,94.4,95.7,14.00
fcm,1000,20,1000,0,19000,135.7,136,181,214,226,119.1,119.3,30.42
