method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,10,20,10,0,168,1457.5,1007,2011,2015,2018,60.1,60.3,7.37
poll,50,20,50,0,848,1329.8,994,2003,2018,2029,61.2,61.9,13.16
poll,100,20,100,0,1694,1301.5,1014,2003,2082,2142,62.8,63.4,34.53
poll,500,20,500,0,8489,1325.2,1405,1984,2092,2173,77.6,80.7,131.58
poll,1000,20,1000,0,22138,2686.1,1849,7963,8841,8899,118.5,137.0,371.29
sse,10,20,10,0,190,10.2,9,16,17,17,133.9,133.9,5.79
sse,50,20,50,0,950,12.0,11,20,25,26,134.1,134.1,3.32
sse,100,20,100,0,1900,14.5,13,23,39,40,134.1,134.1,2.47
sse,500,20,500,0,9500,29.2,29,46,49,51,134.3,134.4,15.63
sse,1000,20,1000,0,19000,50.4,51,83,102,115,134.9,134.9,23.05
ws,10,20,10,0,190,9.9,9,22,23,23,134.9,134.9,2.47
ws,50,20,50,0,950,10.5,10,15,17,17,134.9,134.9,4.95
ws,100,20,100,0,1900,12.9,12,22,27,29,134.9,134.9,6.58
ws,500,20,500,0,9500,29.9,30,55,62,67,116.8,133.8,18.05
ws,1000,20,1000,0,19000,44.1,43,80,90,96,91.4,94.5,25.47
fcm,10,20,10,0,190,134.4,141,166,167,167,93.6,93.9,4.11
fcm,50,20,50,0,950,132.5,141,184,191,193,93.4,93.5,4.89
fcm,100,20,100,0,1900,111.3,111,173,177,183,93.5,93.5,6.58
fcm,500,20,500,0,9500,147.5,152,188,199,204,94.6,95.1,11.53
fcm,1000,20,1000,0,18000,176.4,169,271,315,331,118.6,118.6,34.72
