method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,10,20,10,0,161,1436.5,1005,2014,2016,2017,61.1,61.1,1.63
poll,50,20,50,0,836,1310.1,1006,2014,2040,2066,62.2,62.9,15.63
poll,100,20,100,0,1700,1332.0,1005,2002,2018,2022,64.9,65.6,23.84
poll,500,20,500,0,8496,1290.6,1097,1959,1978,1987,78.3,82.7,100.32
poll,1000,20,1000,0,16557,1317.2,1224,2069,2250,2278,102.7,106.0,213.84
sse,10,20,10,0,190,4.9,5,7,7,7,105.6,105.6,2.47
sse,50,20,50,0,950,5.4,5,7,9,9,105.9,105.9,4.95
sse,100,20,100,0,1900,11.3,9,23,25,26,106.0,106.0,2.47
sse,500,20,500,0,9500,14.7,14,24,32,36,105.0,105.2,8.21
sse,1000,20,1000,0,19000,26.0,26,44,49,51,106.0,106.0,13.16
ws,10,20,10,0,190,5.2,5,12,12,13,105.0,105.2,1.63
ws,50,20,50,0,950,6.0,6,9,9,10,105.2,105.2,3.32
ws,100,20,100,0,1900,7.1,7,13,18,21,105.3,105.3,3.26
ws,500,20,500,0,9500,22.4,21,46,72,82,97.0,105.4,21.37
ws,1000,20,1000,0,19000,39.3,36,86,122,132,90.1,93.2,23.84
fcm,10,20,10,0,190,120.2,114,162,163,163,92.1,92.2,2.47
fcm,50,20,50,0,950,119.7,112,158,159,159,92.7,92.8,1.63
fcm,100,20,100,0,1900,115.2,112,163,165,165,92.9,92.9,4.16
fcm,500,20,500,0,9500,125.7,130,167,177,180,91.0,91.8,10.68
fcm,1000,20,1000,0,19000,145.3,149,185,194,199,115.7,116.0,17.26
